site.code	施設名	病院区分	hospital.type
320	埼玉県立小児医療センター	こども病院	Children's Hospital
311	神奈川県立こども医療センター	こども病院	Children's Hospital
427	静岡県立こども病院	こども病院	Children's Hospital
543	兵庫県立こども病院	こども病院	Children's Hospital
310	昭和大学藤が丘病院	大学病院	University Hospital
304	横浜市立大学附属病院	大学病院	University Hospital
505	近畿大学医学部附属病院	大学病院	University Hospital
717	九州大学病院	大学病院	University Hospital
309	東海大学医学部付属病院	大学病院	University Hospital
330	千葉県こども病院	こども病院	Children's Hospital
411	名古屋第一赤十字病院	総合病院	General Hospital
516	大阪市立総合医療センター	総合病院	General Hospital
707	鹿児島大学医学部・歯学部附属病院	大学病院	University Hospital
106	特定医療法人北楡会札幌北楡病院	総合病院	General Hospital
220	山形大学医学部附属病院	大学病院	University Hospital
338	東京医科歯科大学医学部附属病院	大学病院	University Hospital
544	兵庫医科大学病院	大学病院	University Hospital
303	筑波大学附属病院	大学病院	University Hospital
605	岡山大学病院	大学病院	University Hospital
103	札幌医科大学附属病院	大学病院	University Hospital
202	弘前大学医学部附属病院	大学病院	University Hospital
216	福島県立医科大学附属病院	大学病院	University Hospital
218	宮城県立こども病院	こども病院	Children's Hospital
624	広島赤十字・原爆病院	総合病院	General Hospital
704	琉球大学医学部附属病院	大学病院	University Hospital
705	沖縄県立南部医療センター・こども医療センター	総合病院	General Hospital
708	独立行政法人国立病院機構熊本医療センター	総合病院	General Hospital
715	久留米大学病院	大学病院	University Hospital
328	成田赤十字病院	総合病院	General Hospital
335	日本大学医学部附属板橋病院	大学病院	University Hospital
337	帝京大学医学部附属病院	大学病院	University Hospital
345	東京大学医学部附属病院	大学病院	University Hospital
354	聖路加国際病院	総合病院	General Hospital
364	新潟県立がんセンター新潟病院	がんセンター	Cancer Center
408	名古屋第二赤十字病院	総合病院	General Hospital
421	岐阜市民病院	総合病院	General Hospital
438	三重大学医学部附属病院	大学病院	University Hospital
525	京都大学医学部附属病院	大学病院	University Hospital
530	京都府立医科大学附属病院	大学病院	University Hospital
622	広島大学病院	大学病院	University Hospital
712	長崎大学病院	大学病院	University Hospital
718	独立行政法人国立病院機構九州がんセンター	がんセンター	Cancer Center
208	中通総合病院	総合病院	General Hospital
301	茨城県立こども病院	こども病院	Children's Hospital
316	群馬大学医学部附属病院	大学病院	University Hospital
340	東京都立小児総合医療センター	こども病院	Children's Hospital
349	東邦大学医療センター大森病院	大学病院	University Hospital
359	獨協医科大学病院	大学病院	University Hospital
360	自治医科大学附属病院	大学病院	University Hospital
361	信州大学医学部附属病院	大学病院	University Hospital
403	愛知医科大学病院	大学病院	University Hospital
510	大阪大学医学部附属病院	大学病院	University Hospital
538	神戸大学医学部附属病院	大学病院	University Hospital
611	独立行政法人国立病院機構 香川小児病院	こども病院	Children's Hospital
107	北海道大学病院	大学病院	University Hospital
111	旭川医科大学病院	大学病院	University Hospital
210	岩手医科大学附属病院	大学病院	University Hospital
217	東北大学病院	大学病院	University Hospital
312	聖マリアンナ医科大学病院	大学病院	University Hospital
319	埼玉医科大学総合医療センター	大学病院	University Hospital
324	帝京大学ちば総合医療センター	大学病院	University Hospital
341	東京慈恵会医科大学附属病院	大学病院	University Hospital
351	順天堂大学医学部附属順天堂医院	大学病院	University Hospital
363	新潟大学医歯学総合病院	大学病院	University Hospital
405	独立行政法人国立病院機構名古屋医療センター	総合病院	General Hospital
409	安城更生病院	総合病院	General Hospital
418	金沢大学附属病院	大学病院	University Hospital
504	大阪市立大学医学部附属病院	大学病院	University Hospital
513	大阪医科大学附属病院	大学病院	University Hospital
517	大阪赤十字病院	総合病院	General Hospital
548	和歌山県立医科大学附属病院	大学病院	University Hospital
601	愛媛県立中央病院	総合病院	General Hospital
620	鳥取大学医学部附属病院	大学病院	University Hospital
710	熊本赤十字病院	総合病院	General Hospital
716	産業医科大学病院	大学病院	University Hospital
308	北里大学病院	大学病院	University Hospital
315	群馬県立小児医療センター	こども病院	Children's Hospital
322	防衛医科大学校病院	大学病院	University Hospital
329	千葉大学医学部附属病院	大学病院	University Hospital
343	東京女子医科大学東医療センター	大学病院	University Hospital
347	慶應義塾大学病院	大学病院	University Hospital
353	独立行政法人国立成育医療研究センター	こども病院	Children's Hospital
355	杏林大学医学部付属病院	大学病院	University Hospital
415	豊橋市民病院	総合病院	General Hospital
423	岐阜大学医学部附属病院	大学病院	University Hospital
425	浜松医科大学医学部附属病院	大学病院	University Hospital
430	聖隷浜松病院	総合病院	General Hospital
432	富山大学附属病院	大学病院	University Hospital
435	福井大学医学部附属病院	大学病院	University Hospital
514	関西医科大学附属枚方病院	大学病院	University Hospital
532	滋賀医科大学附属病院	大学病院	University Hospital
540	神戸市立医療センター中央市民病院	総合病院	General Hospital
547	日本赤十字社和歌山医療センター	総合病院	General Hospital
602	愛媛大学医学部附属病院	大学病院	University Hospital
604	独立行政法人国立病院機構岡山医療センター	総合病院	General Hospital
609	川崎医科大学附属病院	大学病院	University Hospital
610	倉敷中央病院	総合病院	General Hospital
625	山口大学医学部附属病院	大学病院	University Hospital
703	大分大学医学部附属病院	大学病院	University Hospital
211	岩手県立中部病院	総合病院	General Hospital
307	帝京大学医学部附属溝口病院	大学病院	University Hospital
334	国立国際医療研究センター病院	総合病院	General Hospital
336	武蔵野赤十字病院	総合病院	General Hospital
342	日本医科大学付属病院	大学病院	University Hospital
348	がん・感染症センター 都立駒込病院	総合病院	General Hospital
414	名古屋市立大学病院	大学病院	University Hospital
420	金沢医科大学病院	大学病院	University Hospital
507	松下記念病院	総合病院	General Hospital
524	京都桂病院	総合病院	General Hospital
534	大津赤十字病院	総合病院	General Hospital
536	天理よろづ相談所病院	総合病院	General Hospital
606	岡山済生会総合病院	総合病院	General Hospital
612	香川大学医学部附属病院	大学病院	University Hospital
616	松江赤十字病院	総合病院	General Hospital
617	島根大学医学部附属病院	大学病院	University Hospital
709	熊本大学医学部附属病院	大学病院	University Hospital
720	浜の町病院	総合病院	General Hospital
721	宮崎大学医学部附属病院	大学病院	University Hospital
